zip,dir,date,diff
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020630221620_20020710225405_CVB_000000_V003.ZIP,1.20020701S10/,2002-07-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020710222405_20020720225808_CVB_000000_V003.ZIP,1.20020711S10/,2002-07-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020720212211_20020731225020_CVB_000000_V003.ZIP,1.20020721S10/,2002-07-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020731222021_20020810224410_CVB_000000_V003.ZIP,1.20020801S10/,2002-08-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020810211833_20020820225158_CVB_000000_V003.ZIP,1.20020811S10/,2002-08-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020820212600_20020831225412_CVB_000000_V003.ZIP,1.20020821S10/,2002-08-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020831222411_20020910224808_CVB_000000_V003.ZIP,1.20020901S10/,2002-09-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020910212221_20020920225600_CVB_000000_V003.ZIP,1.20020911S10/,2002-09-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020920213002_20020930230345_CVB_000000_V003.ZIP,1.20020921S10/,2002-09-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20020930213719_20021010225529_CVB_000000_V003.ZIP,1.20021001S10/,2002-10-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021010213001_20021020230334_CVB_000000_V003.ZIP,1.20021011S10/,2002-10-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021020213756_20021031225304_CVB_000000_V003.ZIP,1.20021021S10/,2002-10-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021031214106_20021110230140_CVB_000000_V003.ZIP,1.20021101S10/,2002-11-01,11
V:/SPOT2/SV04_VG1_S10___RM__20021110213403_20021120215623_CVB_000000_V003.ZIP,1.20021111S10/,2002-11-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021120214143_20021130220356_CVB_000000_V003.ZIP,1.20021121S10/,2002-11-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021130214926_20021210232644_CVB_000000_V003.ZIP,1.20021201S10/,2002-12-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021210215716_20021220233439_CVB_000000_V003.ZIP,1.20021211S10/,2002-12-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021220220501_20021231220742_CVB_000000_V003.ZIP,1.20021221S10/,2002-12-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20021231215312_20030110233011_CVB_000000_V003.ZIP,1.20030101S10/,2003-01-01,11
E:/output/SV04_VG1_S10___RM__20030110220103_20030120233858_CVB_000000_V003.ZIP,1.20030111S10/,2003-01-11,10
E:/output/SV04_VG1_S10___RM__20030120220850_20030131232455_CVB_000000_V003.ZIP,1.20030121S10/,2003-01-21,10
E:/output/SV04_VG1_S10___RM__20030131215708_20030210233408_CVB_000000_V003.ZIP,1.20030201S10/,2003-02-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20030210220501_20030220233849_CVB_000000_V003.ZIP,1.20030211S10/,2003-02-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__20030220221251_20030228225946_CVB_000000_V003.ZIP,1.20030221S10/,2003-02-21,10
E:/output/SV05_VG2_S10___RM__20030228221933_20030310225707_CVB_000000_V003.ZIP,2.20030301S10/,2003-03-01,8
E:/output/SV05_VG2_S10___RM__20030310222717_20030320230124_CVB_000000_V003.ZIP,2.20030311S10/,2003-03-11,10
E:/output/SV05_VG2_S10___RM__20030320212526_20030331225316_CVB_000000_V003.ZIP,2.20030321S10/,2003-03-21,10
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20030331222326_20030410223115_CVB_000000_V003.ZIP,2.20030401S10/,2003-04-01,11
E:/output/SV05_VG2_S10___RM__20030410212147_20030420223904_CVB_000000_V003.ZIP,2.20030411S10/,2003-04-11,10
E:/output/SV05_VG2_S10___RM__20030420212915_20030430224650_CVB_000000_V003.ZIP,2.20030421S10/,2003-04-21,10
E:/output/SV05_VG2_S10___RM__20030430213652_20030510225434_CVB_000000_V003.ZIP,2.20030501S10/,2003-05-01,10
E:/output/SV05_VG2_S10___RM__20030510214416_20030520230216_CVB_000000_V003.ZIP,2.20030511S10/,2003-05-11,10
E:/output/SV05_VG2_S10___RM__20030520215149_20030531225025_CVB_000000_V003.ZIP,2.20030521S10/,2003-05-21,10
E:/output/SV05_VG2_S10___RM__20030531214007_20030610225812_CVB_000000_V003.ZIP,2.20030601S10/,2003-06-01,11
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20030610214745_20030620230559_CVB_000000_V003.ZIP,2.20030611S10/,2003-06-11,10
E:/output/SV05_VG2_S10___RM__20030620215522_20030630231345_CVB_000000_V003.ZIP,2.20030621S10/,2003-06-21,10
E:/output/SV05_VG2_S10___RM__20030630220307_20030710232209_CVB_000000_V003.ZIP,2.20030701S10/,2003-07-01,10
E:/output/SV05_VG2_S10___RM__20030710221042_20030720232956_CVB_000000_V003.ZIP,2.20030711S10/,2003-07-11,10
E:/output/SV05_VG2_S10___RM__20030720221808_20030731231815_CVB_000000_V003.ZIP,2.20030721S10/,2003-07-21,10
E:/output/SV05_VG2_S10___RM__20030731220647_20030810232603_CVB_000000_V003.ZIP,2.20030801S10/,2003-08-01,11
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20030810221425_20030820233340_CVB_000000_V003.ZIP,2.20030811S10/,2003-08-11,10
E:/output/SV05_VG2_S10___RM__20030820222202_20030831232204_CVB_000000_V003.ZIP,2.20030821S10/,2003-08-21,10
E:/output/SV05_VG2_S10___RM__20030831221036_20030910232947_CVB_000000_V003.ZIP,2.20030901S10/,2003-09-01,11
E:/output/SV05_VG2_S10___RM__20030910221259_20030920233721_CVB_000000_V003.ZIP,2.20030911S10/,2003-09-11,10
E:/output/SV05_VG2_S10___RM__20030920221043_20030930234813_CVB_000000_V003.ZIP,2.20030921S10/,2003-09-21,10
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20030930221825_20031010235653_CVB_000000_V003.ZIP,2.20031001S10/,2003-10-01,10
E:/output/SV05_VG2_S10___RM__20031010221045_20031020224814_CVB_000000_V003.ZIP,2.20031011S10/,2003-10-11,10
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20031020221834_20031031234914_CVB_000000_V003.ZIP,2.20031021S10/,2003-10-21,10
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20031031220745_20031110235755_CVB_000000_V003.ZIP,2.20031101S10/,2003-11-01,11
